place_name,category,menu_name,weather,menu_price
일신기사식당,한식,순두부,"흐림, 추움, 쌀쌀",8000
일신기사식당,한식,비빔밥,"맑음, 따뜻함",8000
일신기사식당,한식,삼계탕,"더움, 여름",10000
일신기사식당,한식,불고기백반,"흐림, 선선함",12000
일신기사식당,한식,갈치조림,"비",12000
정,중식,매운맛 탕수육 (소),"맑음, 약간 선선함, 기분 좋은 날",15000
정,중식,고추간짜장,"흐림, 선선함, 비오기 전",9000
정,중식,탕수육 (소),"맑음, 따뜻함",14000
정,중식,깐풍기(소),"비, 흐림, 습함",16000
정,중식,삼선짬뽕,"추움, 흐림, 바람부는 날",10000
정,중식,고추짜장,"흐림, 선선함",8500
정,중식,전가복 (소),"겨울, 매우 추움, 특별한 날",25000
정,중식,홍소탕면,"흐림, 쌀쌀함",9500
와플하우스,디저트,딸기빙수,"덥고 습한 여름날, 맑음",8500
와플하우스,디저트,버터&잼 와플,"선선한 가을 오후, 맑음",7000
와플하우스,음료,카라멜라떼,"쌀쌀한 날, 흐림",6000
와플하우스,음료,바닐라라떼,"약간 선선한 날, 구름 많음",6000
와플하우스,음료,카페라떼,"흐림, 쌀쌀함",5500
와플하우스,음료,헤이즐넛아메리카노,"비오는 날, 서늘함",5000
와플하우스,음료,아메리카노,"맑음, 따뜻함",4500
와플하우스,버거,에그버거,"맑음, 따뜻한 봄날",7500
와플하우스,버거,불고기버거,"흐림, 살짝 추운 날",8000
와플하우스,음료,커피쉐이크,"무더운 여름날, 맑음",7000
와플하우스,음료,청포도에이드,"더운 날, 햇볕 쨍쨍",6500
와플하우스,음료,베리베리에이드,"더운 날, 가볍게 마시기 좋은 날씨",6500
와플하우스,음료,요크셔밀크티,"흐리고 선선한 오후",5500
쌍대포 본점,고기,특삼겹 너덜이,"쌀쌀한 날, 구름 많음",17000
쌍대포 본점,고기,일삼꼬들,"흐림, 선선함",15000
쌍대포 본점,고기,한방껍데기,"추운 겨울밤, 맑음",12000
쌍대포 본점,고기,모듬스페셜,"특별한 날, 맑음",25000
쌍대포 본점,고기,생오겹,"맑음, 따뜻함",16000
쌍대포 본점,고기,생삼겹살,"흐림, 쌀쌀함",16000
쌍대포 본점,고기,통갈매기살,"비오는 날, 습함",15000
쌍대포 본점,고기,항정살,"흐림, 선선함",17000
쌍대포 본점,고기,대구막창,"춥고 흐린 날",18000
쌍대포 본점,고기,양념돼지갈비,"맑은 날, 가족끼리",15000
쌍대포 본점,식사,차돌된장밥,"비오는 날, 따뜻함",8000
쌍대포 본점,식사,순두부찌개,"추운 겨울날",7000
쌍대포 본점,식사,차돌 된장찌개,"흐림, 쌀쌀함",7500
쌍대포 본점,식사,생고기김치찌개,"매우 추운 날",8000
쌍대포 본점,사이드,치즈 계란말이,"선선한 저녁",9000
삼정카페,브런치,삼정프렌치토스트,"맑고 따뜻한 봄날",8500
삼정카페,브런치,토마토스튜,"흐리고 선선한 날",9500
삼정카페,샌드위치,스탠다드샌드위치,"맑음, 활동하기 좋은 날",8000
삼정카페,브런치,베이직프렌치토스트,"햇살 좋은 주말 아침",7500
삼정카페,브런치,삼정플레이트,"맑음, 가족 나들이에 좋은 날",11000
삼정카페,디저트,아이스크림 프렌치토스트,"무더운 여름날",9000
삼정카페,디저트,바나나푸딩토스트,"흐림, 선선한 날",8500
삼정카페,디저트,트리플치즈프렌치토스트,"추운 겨울날, 포근하게",9500
삼정카페,브런치,잠봉프렌치토스트,"맑은 날, 약간 쌀쌀함",9500
까치네,한식,쫄면순두부,"흐림, 선선함",7500
까치네,한식,돈가스+쫄순,"맑은 날, 점심시간",8500
까치네,한식,치킨+돈가스+쫄순,"선선한 날, 구름 많음",9500
까치네,한식,쫄순+치즈알밥,"흐림, 포근함",8500
까치네,한식,돈가스+냉면,"더운 여름날",8500
까치네,한식,돈가스+순두부,"흐림, 선선함",8500
까치네,한식,치킨가스+냉면,"더운 여름날",8500
까치네,한식,치킨가스+쫄순,"흐림, 살짝 쌀쌀함",8500
까치네,한식,냉면+치즈알밥,"덥고 습한 여름날",7500
까치네,한식,돈가스,"맑음, 가벼운 점심",7500
까치네,한식,김치볶음밥,"흐림, 선선한 날",7000
까치네,한식,오므라이스,"흐림, 따뜻한 오후",7000
까치네,한식,제육덮밥,"추운 겨울날",7500
까치네,한식,알밥,"흐림, 포근한 날",7000
까치네,한식,치즈알밥,"구름 많고 선선한 날",7500
버거인,버거,지못미버거,"맑고 따뜻한 날",7000
버거인,버거,더블버거,"흐리고 선선한 날",8500
버거인,버거,에그뿜뿜,"맑은 날, 아침 또는 브런치",7500
버거인,버거,하와이안버거,"맑고 더운 여름날",8000
버거인,버거,싱글버거,"구름 조금, 따뜻함",6500
두리식당,한식,된장찌개,"흐리고 쌀쌀한 날",7000
두리식당,한식,김치찌개,"비 오는 날, 선선함",7500
두리식당,한식,동태찌개,"겨울철 추운 날",8000
두리식당,한식,부대찌개,"흐림, 포근한 날",8500
두리식당,한식,북어찜백반,"맑은 날, 가벼운 점심",9000
두리식당,한식,돌솥비빔밥,"맑고 따뜻한 봄날",8500
두리식당,한식,비빔밥,"맑음, 산뜻한 날",8000
해바라기정육식당 청파점,고기류,소한마리(미국산) 1kg,"추운 겨울날, 모임용",40000
해바라기정육식당 청파점,고기류,소반마리(미국산) 500 g,"선선한 날, 친구와 함께",22000
해바라기정육식당 청파점,고기류,소반+돼반 1kg,"구름 많고 선선한 날",35000
해바라기정육식당 청파점,고기류,국내산숙성등심 200 g,"가족 모임날, 흐림",18000
해바라기정육식당 청파점,고기류,갈비살 200 g,"흐림, 소고기 땡기는 날",17000
해바라기정육식당 청파점,고기류,우삼겹 200 g,"맑은 날, 캠핑 분위기",16000
해바라기정육식당 청파점,고기류,육회 200 g,"맑고 약간 선선한 날",20000
해바라기정육식당 청파점,고기류,육회 소 100 g,"선선함, 가볍게 한접시",11000
해바라기정육식당 청파점,고기류,돼지한마리 1kg,"추운 날, 모임용",25000
해바라기정육식당 청파점,고기류,돼지반마리 500 g,"흐림, 소규모 모임",13000
해바라기정육식당 청파점,고기류,국내산 생삼겹 200 g,"맑은 날, 캠핑 느낌",11000
해바라기정육식당 청파점,고기류,국내산 오겹살 200 g,"흐림, 소주 한 잔 하기 좋은 날",11000
해바라기정육식당 청파점,고기류,항정살 200 g,"맑고 선선한 날",12000
해바라기정육식당 청파점,고기류,생목살 200 g,"흐림, 구이 땡기는 날",11000
해바라기정육식당 청파점,고기류,돼지양념구이 300 g,"흐림, 가벼운 저녁",10000
양평매운탕,매운탕,빠가+메기 특대,"겨울, 추울 때 딱 좋은 날",40000
양평매운탕,매운탕,빠가사리 특,"흐림, 쌀쌀한 날",35000
양평매운탕,매운탕,메기 특,"비 오는 날, 따뜻한 국물",30000
양평매운탕,사이드,빙어튀김,"가을, 맑은 날",15000
부암동치킨 숙대점,치킨,후라이드치킨,"맑은 날, 파티용",18000
부암동치킨 숙대점,치킨,매콤 양념치킨,"흐림, 맥주와 함께",19000
부암동치킨 숙대점,사이드,골뱅이 국수,"흐림, 저녁 술안주",12000
부암동치킨 숙대점,사이드,부산오뎅탕,"겨울, 추운 날",10000
부암동치킨 숙대점,사이드,닭모래집,"흐림, 가볍게 한잔하는 날",9000
굴다리소곱창,곱창구이,소곱창 (1인분),"쌀쌀하거나 추운날",18000
굴다리소곱창,곱창구이,대창 (1인분),"추운날, 구이가 땡기는 날",17000
굴다리소곱창,곱창구이,염통 (1인분),"선선한날, 맥주와 함께",15000
가야해장 용산본점,국밥,맑은 소뼈해장국,"춥고 흐린날",9000
가야해장 용산본점,국밥,얼큰 소뼈해장국,"비오는날, 칼칼하게",9500
가야해장 용산본점,국밥,보양곰탕,"겨울철, 영양식 필요할때",11000
가야해장 용산본점,국밥,한우곱창국밥,"쌀쌀한날",10000
가야해장 용산본점,전골,한우곱창전골 (대),"눈오는날, 가족과 함께",40000
가야해장 용산본점,전골,한우곱창전골 (중),"비오는날, 친구들과 함께",25000
가야해장 용산본점,구이,소뼈구이 (1인),"흐림, 고소한 안주",12000
가야해장 용산본점,볶음,오징어양볶음,"흐리고 쌀쌀한날",15000
가야해장 용산본점,육회,육회 (국내산),"맑은날, 입맛없을때",18000
가야해장 용산본점,구이,한우떡갈비 (한접시),"맑은날, 특별한 식사",22000
가야해장 용산본점,구이,한우떡갈비 (반접시),"선선한날, 가볍게",13000
금강산,안주,홍어사시미,"흐리고 비오는날",30000
금강산,구이,묵은지생삼겹,"흐림, 고기 구워먹기 좋은날",18000
금강산,전골,묵은지감자탕 대,"추운날, 뜨끈하게",25000
금강산,전골,우거지감자탕 대,"겨울철, 깊은 맛이 필요할때",24000
금강산,찜,묵은지 생고기찜,"흐림, 구수한 찜 먹고싶을때",20000
금강산,찜,들깨 묵은지 생고기찜,"흐림, 담백한 맛이 땡기는날",21000
금강산,국밥,우거지뼈해장국,"춥거나 숙취날",8000
금강산,국,청국장,"흐리고 선선한날",7000
금강산,볶음,제육볶음,"맑은날, 든든한 점심",8500
금강산,찌개,김치찌개,"흐림, 비오는날",7500
금강산,찌개,돼지 된장찌개,"흐림, 구수한게 땡기는날",7000
금강산,찌개,바지락 된장찌개,"맑은날, 개운한 국물",8000
금강산,찌개,삼겹살 돼지 된장찌개,"흐림, 고기와 찌개 같이",9000
금강산,찌개,삼겹살 바지락 된장찌개,"흐림, 고기와 시원함 같이",9500
더함,국,전통육개장,"흐림, 몸보신하고 싶을때",9000
더함,정식,떡정식,"맑은날, 간단한 한끼",10000
더함,찌개,해물순두부,"흐림, 국물요리 먹고싶을때",8500
더함,정식,런치코스,"맑은날, 여유로운 점심",25000
더함,비빔밥,전복장비빔밥,"맑은날, 건강한 한끼",16000
더함,정식,셋더함한식코스,"특별한 날, 맑은날",30000
더함,정식,새우장정식,"흐림, 짭조름한 반찬 땡기는날",14000
더함,사이드,차돌편채,"선선한날, 가볍게 한잔",12000
더함,구이,생선구이,"맑은날, 담백한 점심",10000
더함,샐러드,더함 샐러드,"맑은날, 상쾌하게",7000
더함,구이,고추장맥적,"흐림, 구이 땡기는날",12000
더함,정식,맥정식,"맑은날, 든든한 식사",13000
더함,정식,둘더함한식코스,"맑은날, 특별한 코스",32000
와우신내떡,떡볶이세트,와우홀릭세트(2인용 세트),"비오는날, 친구랑 둘이서",15000
와우신내떡,떡볶이,와우떡볶이(밀떡+조랭이떡),"흐림, 출출한 날",8000
와우신내떡,떡볶이세트,혼떡만찬세트(인원수대로),"주말, 파티할 때",20000
달인수제한방족발 용산본점,족발,한방족발,"흐림, 가족끼리 저녁식사",25000
달인수제한방족발 용산본점,족발,보쌈,"추운날, 뜨끈하게",20000
달인수제한방족발 용산본점,족발,매운족발,"비오는날, 매콤하게",22000
달인수제한방족발 용산본점,족발,반반족발,"흐림, 다양한 맛 즐기기",23000
