name,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient,allergy
순두부,400,250,10,20,15,2,10,0,800,300,"두부, 야채, 고추기름",땅콩/대두
비빔밥,500,550,80,20,15,3,10,50,1000,700,"밥, 나물, 고기, 고추장","땅콩/대두, 밀, 달걀"
삼계탕,600,800,10,60,50,15,25,150,1200,500,"닭고기, 인삼, 대추, 마늘",고기
불고기백반,500,700,50,35,30,10,15,80,1000,600,"쇠고기, 양파, 간장, 설탕","땅콩/대두, 밀, 고기"
갈치조림,400,600,20,40,30,8,15,100,900,500,"갈치, 무, 고추장, 간장","갑각류, 땅콩/대두"
매운맛탕수육(소),300,700,60,25,40,10,20,80,800,400,"돼지고기, 전분, 고추, 소스","고기, 밀, 땅콩/대두"
고추간짜장,400,650,80,15,25,5,15,50,1000,300,"면, 돼지고기, 고추, 간장","밀, 고기, 땅콩/대두"
탕수육(소),300,650,50,20,35,8,18,70,700,350,"돼지고기, 전분, 소스","고기, 밀, 땅콩/대두"
깐풍기(소),300,750,40,30,45,10,20,90,900,400,"닭고기, 마늘, 고추, 간장","고기, 땅콩/대두, 밀"
삼선짬뽕,600,800,90,30,30,8,15,100,1500,500,"면, 해물, 야채, 고추기름","갑각류, 밀, 땅콩/대두"
고추짜장,400,600,85,10,20,5,10,30,900,300,"면, 고추, 간장, 돼지고기","밀, 고기, 땅콩/대두"
전가복(소),400,900,40,40,50,15,25,120,1000,600,"해산물, 야채, 소스","갑각류, 땅콩/대두"
홍소탕면,500,700,80,20,25,6,12,60,1100,400,"면, 소고기, 야채, 간장","밀, 땅콩/대두, 고기"
딸기빙수,350,450,70,5,15,10,3,20,100,200,"얼음, 딸기, 연유, 팥",우유
버터&잼와플,200,500,60,8,25,15,5,50,300,150,"밀가루, 버터, 잼","밀, 우유"
카라멜라떼,300,350,40,8,15,10,3,30,150,200,"우유, 커피, 카라멜시럽",우유
바닐라라떼,300,330,35,8,12,9,2,25,140,190,"우유, 커피, 바닐라시럽",우유
카페라떼,300,280,30,9,10,7,2,20,130,200,"우유, 커피",우유
헤이즐넛아메리카노,300,50,8,0,0,0,0,0,10,200,"커피, 헤이즐넛시럽",NULL
아메리카노,300,10,0,0,0,0,0,0,10,200,"커피",NULL
에그버거,250,550,45,20,30,10,15,120,800,300,"계란, 빵, 소스","달걀, 밀, 땅콩/대두"
불고기버거,250,600,50,22,35,12,15,80,900,300,"쇠고기, 빵, 양파, 소스","밀, 땅콩/대두, 고기"
커피쉐이크,350,400,50,10,15,10,3,50,150,200,"우유, 커피, 아이스크림",우유
청포도에이드,350,250,60,0,0,0,0,0,30,100,"청포도시럽, 탄산수",NULL
베리베리에이드,350,250,60,0,0,0,0,0,30,100,"베리믹스시럽, 탄산수",NULL
요크셔밀크티,300,300,35,6,12,8,3,30,150,200,"홍차, 우유, 설탕",우유
특삼겹 너덜이,400,300,30,20,15,5,10,50,800,300,"삼겹살",고기
일삼꼬들,400,300,30,20,15,5,10,50,800,300,"삼겹살",고기
한방껍데기,400,300,30,20,15,5,10,50,800,300,"돼지껍데기, 한방재료",고기
모듬스페셜,400,300,30,20,15,5,10,50,800,300,"삼겹살, 항정살, 갈매기살",고기
생오겹,400,300,30,20,15,5,10,50,800,300,"오겹살",고기
생삼겹살,400,300,30,20,15,5,10,50,800,300,"삼겹살",고기
통갈매기살,400,300,30,20,15,5,10,50,800,300,"갈매기살",고기
항정살,400,300,30,20,15,5,10,50,800,300,"항정살",고기
대구막창,400,300,30,20,15,5,10,50,800,300,"돼지막창",고기
양념돼지갈비,400,300,30,20,15,5,10,50,800,300,"돼지고기, 양념장(간장, 설탕, 마늘)",고기
차돌된장밥,400,300,30,20,15,5,10,50,800,300,"밥, 차돌박이, 된장, 야채",땅콩/대두
순두부찌개,400,300,30,20,15,5,10,50,800,300,"순두부, 야채, 고추기름",땅콩/대두
차돌 된장찌개,400,300,30,20,15,5,10,50,800,300,"차돌박이, 된장, 야채",땅콩/대두
생고기김치찌개,400,300,30,20,15,5,10,50,800,300,"돼지고기, 김치, 고추가루",NULL
치즈 계란말이,400,300,30,20,15,5,10,50,800,300,"계란, 치즈",달걀
삼정프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 계란, 우유, 시럽","달걀, 우유"
토마토스튜,400,300,30,20,15,5,10,50,800,300,"토마토, 야채, 올리브오일",NULL
스탠다드샌드위치,400,300,30,20,15,5,10,50,800,300,"식빵, 햄, 치즈, 야채","밀, 우유"
베이직프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 계란, 우유","달걀, 우유"
삼정플레이트,400,300,30,20,15,5,10,50,800,300,"계란, 베이컨, 빵, 야채","달걀, 밀"
아이스크림 프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 계란, 우유, 아이스크림","우유, 달걀"
바나나푸딩토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 바나나, 푸딩, 우유",우유
트리플치즈프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 치즈, 우유, 계란","우유, 달걀"
잠봉프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 잠봉, 계란, 우유","달걀, 우유"
쫄면순두부,400,300,30,20,15,5,10,50,800,300,"쫄면, 순두부, 야채","땅콩/대두"
돈가스+쫄순,400,300,30,20,15,5,10,50,800,300,"돈가스, 쫄면, 소스","밀, 땅콩/대두"
치킨+돈가스+쫄순,400,300,30,20,15,5,10,50,800,300,"치킨가스, 돈가스, 쫄면","밀, 땅콩/대두"
쫄순+치즈알밥,400,300,30,20,15,5,10,50,800,300,"쫄면, 치즈, 알밥","우유"
돈가스+냉면,400,300,30,20,15,5,10,50,800,300,"돈가스, 냉면","밀, 땅콩/대두"
돈가스+순두부,400,300,30,20,15,5,10,50,800,300,"돈가스, 순두부","땅콩/대두"
치킨가스+냉면,400,300,30,20,15,5,10,50,800,300,"치킨가스, 냉면","밀, 땅콩/대두"
치킨가스+쫄순,400,300,30,20,15,5,10,50,800,300,"치킨가스, 쫄면","밀, 땅콩/대두"
냉면+치즈알밥,400,300,30,20,15,5,10,50,800,300,"냉면, 치즈, 알밥","우유"
돈가스,400,300,30,20,15,5,10,50,800,300,"돈가스","밀, 땅콩/대두"
김치볶음밥,400,300,30,20,15,5,10,50,800,300,"밥, 김치, 계란","달걀"
오므라이스,400,300,30,20,15,5,10,50,800,300,"밥, 계란, 케첩","달걀"
제육덮밥,400,300,30,20,15,5,10,50,800,300,"돼지고기, 밥, 고추장","고기"
알밥,400,300,30,20,15,5,10,50,800,300,"날치알, 밥, 야채",NULL
치즈알밥,400,300,30,20,15,5,10,50,800,300,"날치알, 밥, 치즈","우유"
지못미버거,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵, 소스","밀, 땅콩/대두"
더블버거,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵, 소스","밀, 땅콩/대두"
에그뿜뿜,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵, 계란","밀, 땅콩/대두, 달걀"
하와이안버거,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵, 파인애플","밀, 땅콩/대두"
싱글버거,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵","밀, 땅콩/대두"
